municipality_upper,median_income,,coord,municipality
"AARTSELAAR","32.968","","51.1319 4.3827","Aartselaar"
"ANTWERPEN","25.893","","51.2609 4.3695","Antwerpen"
"BOECHOUT","32.549","","51.1605 4.5105","Boechout"
"BOOM","28.249","","51.0937 4.3731","Boom"
"BORSBEEK","28.578","","51.1915 4.488","Borsbeek"
"BRASSCHAAT","31.957","","51.31 4.4995","Brasschaat"
"BRECHT","32.453","","51.329 4.594","Brecht"
"EDEGEM","32.405","","51.159 4.4305","Edegem"
"ESSEN","30.751","","51.4485 4.4635","Essen"
"HEMIKSEM","30.703","","51.1455 4.3405","Hemiksem"
"HOVE","34.341","","51.1474 4.482","Hove"
"KALMTHOUT","32.587","","51.3988 4.4689","Kalmthout"
"KAPELLEN","33.113","","51.3339 4.4438","Kapellen"
"KONTICH","33.479","","51.1237 4.4445","Kontich"
"LINT","33.262","","51.129 4.511","Lint"
"MORTSEL","31.521","","51.1746 4.4612","Mortsel"
"NIEL","31.296","","51.1055 4.3395","Niel"
"RANST","32.970","","51.1927 4.5907","Ranst"
"RUMST","32.839","","51.0938 4.4214","Rumst"
"SCHELLE","32.350","","51.1226 4.3429","Schelle"
"SCHILDE","33.464","","51.2561 4.5814","Schilde"
"SCHOTEN","31.498","","51.2642 4.5083","Schoten"
"STABROEK","32.444","","51.327 4.3715","Stabroek"
"WIJNEGEM","31.356","","51.2296 4.5168","Wijnegem"
"WOMMELGEM","31.528","","51.205 4.522","Wommelgem"
"WUUSTWEZEL","31.743","","51.3855 4.5545","Wuustwezel"
"ZANDHOVEN","31.804","","51.2114 4.6793","Zandhoven"
"ZOERSEL","32.903","","51.2565 4.6455","Zoersel"
"ZWIJNDRECHT","30.181","","51.224 4.3235","Zwijndrecht"
"MALLE","31.396","","51.2934 4.7135","Malle"
"BERLAAR","31.190","","51.1072 4.6561","Berlaar"
"BONHEIDEN","34.260","","51.0185 4.569","Bonheiden"
"BORNEM","32.455","","51.0915 4.2055","Bornem"
"DUFFEL","31.754","","51.095 4.487","Duffel"
"HEIST-OP-DEN-BERG","31.251","","51.063 4.723","Heist-op-den-Berg"
"LIER","30.101","","51.1195 4.5745","Lier"
"MECHELEN","30.550","","51.0288 4.4503","Mechelen"
"NIJLEN","32.066","","51.1515 4.6855","Nijlen"
"PUTTE","32.306","","51.0506 4.6364","Putte"
"SINT-KATELIJNE-WAVER","32.853","","51.0625 4.5455","Sint-Katelijne-Waver"
"WILLEBROEK","29.560","","51.05 4.357","Willebroek"
"PUURS-SINT-AMANDS","33.176","","51.0645 4.2995","Puurs-Sint-Amands"
"ARENDONK","31.119","","51.3346 5.0854","Arendonk"
"BAARLE-HERTOG","29.085","","51.405 4.902","Baarle-Hertog"
"BALEN","31.219","","51.1586 5.1829","Balen"
"BEERSE","32.324","","51.3145 4.8231","Beerse"
"DESSEL","30.704","","51.2415 5.122","Dessel"
"GEEL","31.399","","51.166 4.972","Geel"
"GROBBENDONK","32.054","","51.1798 4.7391","Grobbendonk"
"HERENTALS","30.955","","51.1638 4.8276","Herentals"
"HERENTHOUT","30.826","","51.1391 4.7599","Herenthout"
"HERSELT","31.163","","51.0474 4.8829","Herselt"
"HOOGSTRATEN","30.818","","51.4405 4.7315","Hoogstraten"
"HULSHOUT","31.699","","51.0629 4.8123","Hulshout"
"KASTERLEE","31.932","","51.241 4.908","Kasterlee"
"LILLE","31.894","","51.253 4.834","Lille"
"MEERHOUT","31.447","","51.1246 5.0735","Meerhout"
"MERKSPLAS","31.682","","51.3704 4.8702","Merksplas"
"MOL","31.052","","51.2336 5.1527","Mol"
"OLEN","32.275","","51.1636 4.8854","Olen"
"OUD-TURNHOUT","31.623","","51.3208 5.0044","Oud-Turnhout"
"RAVELS","31.015","","51.4151 5.0261","Ravels"
"RETIE","31.574","","51.258 5.056","Retie"
"RIJKEVORSEL","30.917","","51.353 4.757","Rijkevorsel"
"TURNHOUT","28.231","","51.3285 4.937","Turnhout"
"VORSELAAR","31.585","","51.2177 4.773","Vorselaar"
"VOSSELAAR","32.978","","51.3055 4.8849","Vosselaar"
"WESTERLO","31.605","","51.1064 4.8818","Westerlo"
"LAAKDAL","32.080","","51.0755 4.9695","Laakdal"
"ANDERLECHT","21.975","","50.8288 4.2926","Anderlecht"
"OUDERGHEM","32.122","","50.8103 4.4374","Oudergem"
"SINT-AGATHA-BERCHEM","25.270","","50.8645 4.2941","Sint-Agatha-Berchem"
"BRUSSEL","23.423","","50.8729 4.3752","Brussel"
"ETTERBEEK","28.731⁽¹⁾","","50.833 4.3947","Etterbeek"
"EVERE","24.939","","50.869 4.407","Evere"
"VORST","24.939","","50.8142 4.3243","Vorst"
"GANSHOREN","24.425","","50.8744 4.3095","Ganshoren"
"ELSENE","28.659⁽¹⁾","","50.8215 4.3795","Elsene"
"JETTE","24.679","","50.8816 4.3214","Jette"
"KOEKELBERG","22.781","","50.863 4.3241","Koekelberg"
"SINT-JANS-MOLENBEEK","21.279","","50.8551 4.3182","Sint-Jans-Molenbeek"
"SINT-GILLIS","24.226","","50.8296 4.3447","Sint-Gillis"
"SINT-JOOST-TEN-NODE","20.815","","50.8535 4.3745","Sint-Joost-ten-Node"
"SCHAARBEEK","23.392","","50.862 4.385","Schaarbeek"
"UKKEL","29.887","","50.7899 4.3614","Ukkel"
"WATERMAAL-BOSVOORDE","29.546","","50.7928 4.4236","Watermaal-Bosvoorde"
"SINT-LAMBRECHTS-WOLUWE","31.215","","50.8485 4.431","Sint-Lambrechts-Woluwe"
"SINT-PIETERS-WOLUWE","33.796","","50.8335 4.4505","Sint-Pieters-Woluwe"
"ASSE","30.150","","50.9085 4.1745","Asse"
"BEERSEL","32.641","","50.7504 4.3019","Beersel"
"BEVER","32.635","","50.711 3.9315","Bever"
"DILBEEK","31.547","","50.8534 4.234","Dilbeek"
"GALMAARDEN","33.203","","50.7505 3.9915","Galmaarden"
"GOOIK","33.343","","50.7809 4.0958","Gooik"
"GRIMBERGEN","31.136","","50.9445 4.3764","Grimbergen"
"HALLE","30.704","","50.7264 4.237","Halle"
"HERNE","33.130","","50.7225 4.0375","Herne"
"HOEILAART","34.679","","50.7612 4.4509","Hoeilaart"
"KAMPENHOUT","34.295","","50.94 4.544","Kampenhout"
"KAPELLE-OP-DEN-BOS","32.547","","51 4.355","Kapelle-op-den-Bos"
"LIEDEKERKE","30.549","","50.8667 4.0932","Liedekerke"
"LONDERZEEL","32.989","","51.0107 4.2765","Londerzeel"
"MACHELEN","28.759","","50.9027 4.444","Machelen"
"MEISE","32.902","","50.961 4.3158","Meise"
"MERCHTEM","32.217","","50.9514 4.2471","Merchtem"
"OPWIJK","32.652","","50.9605 4.1715","Opwijk"
"OVERIJSE","34.907","","50.7713 4.5328","Overijse"
"PEPINGEN","33.795","","50.7442 4.1477","Pepingen"
"SINT-PIETERS-LEEUW","29.251","","50.7885 4.2435","Sint-Pieters-Leeuw"
"STEENOKKERZEEL","33.280","","50.9209 4.4992","Steenokkerzeel"
"TERNAT","32.637","","50.8655 4.1795","Ternat"
"VILVOORDE","28.730","","50.9302 4.4337","Vilvoorde"
"ZAVENTEM","31.337","","50.8711 4.4866","Zaventem"
"ZEMST","34.966","","50.978 4.449","Zemst"
"ROOSDAAL","33.516","","50.835 4.096","Roosdaal"
"DROGENBOS","28.328","","50.7934 4.309","Drogenbos"
"KRAAINEM","36.078","","50.8456 4.4714","Kraainem"
"LINKEBEEK","31.678","","50.7679 4.3454","Linkebeek"
"SINT-GENESIUS-RODE","33.190","","50.7443 4.3734","Sint-Genesius-Rode"
"WEMMEL","29.678","","50.909 4.3085","Wemmel"
"WEZEMBEEK-OPPEM","35.220","","50.844 4.4935","Wezembeek-Oppem"
"LENNIK","33.171","","50.8133 4.1636","Lennik"
"AFFLIGEM","32.936","","50.9042 4.1159","Affligem"
"AARSCHOT","31.719","","50.989 4.8646","Aarschot"
"BEGIJNENDIJK","32.778","","51.007 4.7846","Begijnendijk"
"BEKKEVOORT","32.793","","50.9345 4.9779","Bekkevoort"
"BERTEM","34.516","","50.8539 4.6097","Bertem"
"BIERBEEK","35.066","","50.83 4.7673","Bierbeek"
"BOORTMEERBEEK","34.809","","50.9805 4.5625","Boortmeerbeek"
"BOUTERSEM","34.882","","50.831 4.837","Boutersem"
"DIEST","30.968","","50.9965 5.0485","Diest"
"GEETBETS","31.176","","50.8915 5.1312","Geetbets"
"HAACHT","33.688","","50.964 4.6414","Haacht"
"HERENT","34.980","","50.9125 4.6325","Herent"
"HOEGAARDEN","34.241","","50.7791 4.8766","Hoegaarden"
"HOLSBEEK","35.160","","50.93 4.815","Holsbeek"
"HULDENBERG","34.443","","50.7897 4.6119","Huldenberg"
"KEERBERGEN","34.968","","51.0052 4.6543","Keerbergen"
"KORTENAKEN","32.565","","50.8895 5.0125","Kortenaken"
"KORTENBERG","33.796","","50.89 4.5689","Kortenberg"
"LANDEN","31.405","","50.7547 5.0617","Landen"
"LEUVEN","32.156","","50.8821 4.7058","Leuven"
"LUBBEEK","34.561","","50.882 4.8287","Lubbeek"
"OUD-HEVERLEE","35.744","","50.8215 4.7235","Oud-Heverlee"
"ROTSELAAR","34.649","","50.957 4.757","Rotselaar"
"TERVUREN","35.506","","50.831 4.558","Tervuren"
"TIENEN","29.950","","50.808 4.936","Tienen"
"TREMELO","32.939","","50.9992 4.7267","Tremelo"
"ZOUTLEEUW","31.179","","50.8351 5.1011","Zoutleeuw"
"LINTER","32.470","","50.822 5.043","Linter"
"SCHERPENHEUVEL-ZICHEM","31.472","","50.9995 4.962","Scherpenheuvel-Zichem"
"TIELT-WINGE","32.520","","50.9215 4.8845","Tielt-Winge"
"GLABBEEK","34.044","","50.867 4.9495","Glabbeek"
"BEVEKOM","32.801","","50.7761 4.7646","Bevekom"
"EIGENBRAKEL","32.147","","50.6733 4.3547","Eigenbrakel"
"KASTEELBRAKEL","32.182","","50.6795 4.2575","Kasteelbrakel"
"CHAUMONT-GISTOUX","33.745","","50.6875 4.6975","Chaumont-Gistoux"
"COURT-SAINT-ETIENNE","31.459","","50.6265 4.5626","Court-Saint-Etienne"
"GENEPIEN","31.783","","50.6101 4.4563","Genepien"
"GRAVEN","31.879","","50.7483 4.688","Graven"
"INCOURT","31.979","","50.6991 4.7814","Incourt"
"ITTER","31.794","","50.6426 4.2578","Itter"
"GELDENAKEN","30.232","","50.7283 4.8604","Geldenaken"
"TERHULPEN","32.604","","50.7363 4.4646","Terhulpen"
"MONT-SAINT-GUIBERT","32.964","","50.635 4.617","Mont-Saint-Guibert"
"NIJVEL","30.332","","50.5969 4.3323","Nijvel"
"PERWIJS","31.780","","50.6345 4.7795","Perwijs"
"RIXENSART","33.179","","50.722 4.504","Rixensart"
"TUBEKE","28.674","","50.6902 4.1905","Tubeke"
"VILLERS-LA-VILLE","32.740","","50.5623 4.5266","Villers-la-Ville"
"WATERLOO","32.582","","50.7095 4.4037","Waterloo"
"WAVER","30.397","","50.7158 4.5932","Waver"
"CHASTRE","33.093","","50.5894 4.6231","Chastre"
"HELECINE","31.396","","50.7465 4.9965","Hélécine"
"LASNE","33.265","","50.6823 4.4615","Lasne"
"ORP-JAUCHE","31.400","","50.6898 4.9632","Orp-Jauche"
"OTTIGNIES-LOUVAIN-LA-NEUVE","30.077","","50.6725 4.5625","Ottignies-Louvain-la-Neuve"
"RAMILLIES","32.216","","50.6595 4.886","Ramillies"
"REBECQ","30.055","","50.6714 4.1304","Rebecq"
"WALHAIN","33.487","","50.6313 4.6973","Walhain"
"BEERNEM","32.096","","51.15 3.342","Beernem"
"BLANKENBERGE","27.996","","51.302 3.1405","Blankenberge"
"BRUGGE","31.129","","51.2605 3.222","Brugge"
"DAMME","31.859","","51.2522 3.3274","Damme"
"JABBEKE","33.043","","51.191 3.087","Jabbeke"
"OOSTKAMP","32.708","","51.1193 3.2303","Oostkamp"
"TORHOUT","30.973","","51.059 3.089","Torhout"
"ZEDELGEM","32.377","","51.1255 3.1365","Zedelgem"
"ZUIENKERKE","32.088","","51.252 3.128","Zuienkerke"
"KNOKKE-HEIST","29.855","","51.3325 3.3077","Knokke-Heist"
"DIKSMUIDE","30.047","","51.0455 2.847","Diksmuide"
"HOUTHULST","30.479","","50.9701 2.8963","Houthulst"
"KOEKELARE","30.261","","51.089 2.9639","Koekelare"
"KORTEMARK","30.454","","51.0248 3.0018","Kortemark"
"LO-RENINGE","30.288","","50.9605 2.776","Lo-Reninge"
"IEPER","30.013","","50.8665 2.8415","Ieper"
"MESEN","27.010","","50.76 2.899","Mesen"
"POPERINGE","29.618","","50.866 2.67","Poperinge"
"WERVIK","29.315","","50.8102 3.0565","Wervik"
"ZONNEBEKE","30.986","","50.8645 3.0025","Zonnebeke"
"HEUVELLAND","29.676","","50.7756 2.8303","Heuvelland"
"LANGEMARK-POELKAPELLE","30.937","","50.9159 2.9294","Langemark-Poelkapelle"
"VLETEREN","29.687","","50.9195 2.7275","Vleteren"
"ANZEGEM","32.050","","50.8308 3.454","Anzegem"
"AVELGEM","30.518","","50.7777 3.4536","Avelgem"
"DEERLIJK","32.116","","50.8426 3.3662","Deerlijk"
"HARELBEKE","30.483","","50.8638 3.3074","Harelbeke"
"KORTRIJK","29.713","","50.8 3.2645","Kortrijk"
"KUURNE","30.643","","50.86 3.271","Kuurne"
"LENDELEDE","31.485","","50.885 3.2305","Lendelede"
"MENEN","28.165","","50.7935 3.1965","Menen"
"WAREGEM","30.938","","50.878 3.419","Waregem"
"WEVELGEM","31.252","","50.8314 3.1738","Wevelgem"
"ZWEVEGEM","31.412","","50.7825 3.3815","Zwevegem"
"SPIERE-HELKIJN","29.177","","50.7306 3.3625","Spiere-Helkijn"
"BREDENE","30.445","","51.239 2.9765","Bredene"
"GISTEL","31.469","","51.1511 2.9432","Gistel"
"ICHTEGEM","31.208","","51.11 3.0305","Ichtegem"
"MIDDELKERKE","28.911","","51.1534 2.8384","Middelkerke"
"OOSTENDE","27.635","","51.2155 2.921","Oostende"
"OUDENBURG","31.281","","51.1862 3.012","Oudenburg"
"DE HAAN","29.606","","51.2618 3.0475","De Haan"
"HOOGLEDE","31.738","","50.9895 3.0824","Hooglede"
"INGELMUNSTER","31.087","","50.9215 3.2635","Ingelmunster"
"IZEGEM","30.551","","50.9211 3.2055","Izegem"
"LEDEGEM","31.007","","50.8705 3.1175","Ledegem"
"LICHTERVELDE","31.835","","51.028 3.1462","Lichtervelde"
"MOORSLEDE","30.621","","50.8825 3.0725","Moorslede"
"ROESELARE","29.962","","50.9369 3.1336","Roeselare"
"STADEN","30.691","","50.9575 3.0005","Staden"
"DENTERGEM","31.472","","50.9532 3.4065","Dentergem"
"MEULEBEKE","30.808","","50.951 3.295","Meulebeke"
"OOSTROZEBEKE","30.786","","50.9306 3.3372","Oostrozebeke"
"PITTEM","30.759","","51.001 3.259","Pittem"
"RUISELEDE","32.053","","51.0625 3.3655","Ruiselede"
"TIELT","30.402","","51.0075 3.3325","Tielt"
"WIELSBEKE","31.166","","50.912 3.3674","Wielsbeke"
"WINGENE","31.671","","51.0595 3.2598","Wingene"
"ARDOOIE","30.669","","50.9816 3.203","Ardooie"
"ALVERINGEM","30.483","","50.9755 2.6585","Alveringem"
"DE PANNE","28.188","","51.0808 2.5884","De Panne"
"KOKSIJDE","30.110","","51.1155 2.6795","Koksijde"
"NIEUWPOORT","28.088","","51.125 2.7648","Nieuwpoort"
"VEURNE","30.035","","51.0466 2.6648","Veurne"
"AALST","29.973","","50.9446 4.0687","Aalst"
"DENDERLEEUW","30.485","","50.888 4.0595","Denderleeuw"
"GERAARDSBERGEN","30.359","","50.7796 3.904","Geraardsbergen"
"HAALTERT","32.194","","50.8846 3.9933","Haaltert"
"HERZELE","32.551","","50.8703 3.8924","Herzele"
"LEDE","32.357","","50.9675 3.9655","Lede"
"NINOVE","30.321","","50.8261 4.0049","Ninove"
"SINT-LIEVENS-HOUTEM","33.593","","50.931 3.8758","Sint-Lievens-Houtem"
"ZOTTEGEM","32.456","","50.864 3.801","Zottegem"
"ERPE-MERE","32.489","","50.9215 3.9519","Erpe-Mere"
"BERLARE","31.636","","51.039 3.963","Berlare"
"BUGGENHOUT","32.374","","51.0119 4.1988","Buggenhout"
"DENDERMONDE","30.778","","51.0285 4.1275","Dendermonde"
"HAMME","30.210","","51.0782 4.1397","Hamme"
"LAARNE","33.114","","51.0465 3.9115","Laarne"
"LEBBEKE","31.570","","50.9924 4.119","Lebbeke"
"WAASMUNSTER","32.331","","51.1185 4.0395","Waasmunster"
"WETTEREN","30.643","","50.9945 3.8703","Wetteren"
"WICHELEN","32.466","","50.9987 3.9535","Wichelen"
"ZELE","29.701","","51.0673 4.0359","Zele"
"ASSENEDE","32.291","","51.2245 3.704","Assenede"
"EEKLO","28.740","","51.1945 3.5622","Eeklo"
"KAPRIJKE","31.978","","51.2081 3.6271","Kaprijke"
"MALDEGEM","31.113","","51.1981 3.4504","Maldegem"
"SINT-LAUREINS","31.445","","51.26 3.5803","Sint-Laureins"
"ZELZATE","28.667","","51.198 3.8105","Zelzate"
"DE PINTE","35.750","","50.9859 3.6693","De Pinte"
"DESTELBERGEN","33.080","","51.0443 3.8094","Destelbergen"
"EVERGEM","32.268","","51.143 3.7155","Evergem"
"GAVERE","33.289","","50.929 3.69","Gavere"
"GENT","29.550","","51.0743 3.7254","Gent"
"LOCHRISTI","33.429","","51.1032 3.8571","Lochristi"
"MELLE","33.707","","50.9969 3.7964","Melle"
"MERELBEKE","34.289","","50.9743 3.7407","Merelbeke"
"MOERBEKE","32.308","","51.1824 3.945","Moerbeke"
"NAZARETH","32.971","","50.9585 3.6275","Nazareth"
"OOSTERZELE","34.166","","50.9388 3.7971","Oosterzele"
"SINT-MARTENS-LATEM","33.711","","51.0085 3.623","Sint-Martens-Latem"
"WACHTEBEKE","31.923","","51.1835 3.8685","Wachtebeke"
"ZULTE","32.045","","50.9373 3.4724","Zulte"
"DEINZE","32.333","","51.018 3.5316","Deinze"
"AALTER","32.530","","51.0953 3.4473","Aalter"
"LIEVEGEM","31.593","","51.125 3.561","Lievegem"
"OUDENAARDE","31.319","","50.8535 3.6209","Oudenaarde"
